itm_no_item|인식불가능한 항목
itm_no_item_pl|인식불가능한 항목
itm_tutorial_spear|창
itm_tutorial_spear_pl|창
itm_tutorial_club|곤봉
itm_tutorial_club_pl|곤봉
itm_tutorial_battle_axe|무거운 도끼
itm_tutorial_battle_axe_pl|무거운 도끼
itm_tutorial_arrows|화살
itm_tutorial_arrows_pl|화살
itm_tutorial_bolts|쇠뇌용 화살
itm_tutorial_bolts_pl|쇠뇌용 화살
itm_tutorial_short_bow|장궁
itm_tutorial_short_bow_pl|장궁
itm_tutorial_crossbow|쇠뇌
itm_tutorial_crossbow_pl|쇠뇌
itm_tutorial_throwing_daggers|투창
itm_tutorial_throwing_daggers_pl|투창
itm_tutorial_saddle_horse|조랑말
itm_tutorial_saddle_horse_pl|조랑말
itm_tutorial_shield|원형 방패
itm_tutorial_shield_pl|원형 방패
itm_tutorial_staff_no_attack|지팡이
itm_tutorial_staff_no_attack_pl|지팡이
itm_tutorial_staff|지팡이
itm_tutorial_staff_pl|지팡이
itm_tutorial_sword|평범한 검
itm_tutorial_sword_pl|평범한 검
itm_tutorial_axe|도끼
itm_tutorial_axe_pl|도끼
itm_tutorial_dagger|단검
itm_tutorial_dagger_pl|단검
itm_horse_meat|말 고기
itm_horse_meat_pl|말 고기
itm_practice_sword|연습용 평범한 검
itm_practice_sword_pl|연습용 평범한 검
itm_heavy_practice_sword|연습용 게일 투사의 검
itm_heavy_practice_sword_pl|연습용 게일 투사의 검
itm_practice_dagger|단검
itm_practice_dagger_pl|연습용 단검
itm_practice_axe|연습용 무거운 도끼
itm_practice_axe_pl|연습용 무거운 도끼
itm_arena_axe|연습용 도끼
itm_arena_axe_pl|연습용 도끼
itm_arena_sword|연습용 평범한 검
itm_arena_sword_pl|연습용 평범한 검
itm_arena_sword_two_handed|연습용 고이델릭 투사의 검
itm_arena_sword_two_handed_pl|연습용 고이델릭 투사의 검
itm_arena_lance|연습용 창
itm_arena_lance_pl|연습용 창
itm_practice_staff|연습용 지팡이
itm_practice_staff_pl|연습용 지팡이
itm_practice_lance|연습용 창
itm_practice_lance_pl|연습용 창
itm_practice_shield|연습용 방패
itm_practice_shield_pl|연습용 방패
itm_practice_bow|연습용 장궁
itm_practice_bow_pl|연습용 장궁
itm_practice_crossbow|연습용 투석끈
itm_practice_crossbow_pl|연습용 투석끈
itm_practice_javelin|연습용 투창
itm_practice_javelin_pl|연습용 투창
itm_practice_javelin_melee|연습용 투창
itm_practice_javelin_melee_pl|연습용 투창
itm_practice_throwing_daggers|연습용 투창
itm_practice_throwing_daggers_pl|연습용 투창
itm_practice_throwing_daggers_100_amount|연습용 투창
itm_practice_throwing_daggers_100_amount_pl|연습용 투창
itm_practice_horse|조랑말
itm_practice_horse_pl|조랑말
itm_practice_arrows|연습용 화살
itm_practice_arrows_pl|연습용 화살
itm_practice_bolts|연습용 돌
itm_practice_bolts_pl|연습용 돌
itm_practice_arrows_10_amount|연습용 화살
itm_practice_arrows_10_amount_pl|연습용 화살
itm_practice_arrows_100_amount|연습용 화살
itm_practice_arrows_100_amount_pl|연습용 화살
itm_practice_bolts_9_amount|연습용 쇠뇌 화살
itm_practice_bolts_9_amount_pl|연습용 쇠뇌 화살
itm_practice_boots|장화
